Producto,Precio Descuento,Precio Internet,Precio Anterior
Notebook Gamer 15-fa1013la I7 16GB 1TB RTX4060 8GB,no encontrado,$ 1.699.990,no encontrado
"Notebook Pavilion x360 14-EK0003LA Intel Core i5-1235U 8GB RAM 512GB SSD 14"" FHD Táctil + Lápiz",$ 659.990,$ 679.990,$ 869.990
"Notebook Gamer Victus 15-FB2019LA AMD Ryzen 7 8845HS 16GB RAM DDR5 1TB SSD RTX 4050 15.6"" FHD 144Hz",$ 1.149.990,$ 1.169.990,$ 1.499.990
"Notebook Pavilion x360 14-EK0003LA Intel Core i5-1235U 8GB RAM 512GB SSD 14"" FHD Táctil + Lápiz",$ 659.990,$ 679.990,$ 869.990
Kit De Teclado y Mouse MK470 - Blanco,no encontrado,$ 69.990,no encontrado
Teclado K580 Bluetooth multidispositivo Blanco,no encontrado,$ 69.990,no encontrado
Impresora Multifuncional Smart Tank 750 Tanque de Tinta Color Wi-Fi ADF Duplex automático Wi-Fi Direct,no encontrado,$ 299.990,no encontrado
MacBook Air 13.3 Chip M1 8GB RAM 256GB - Gris espacial,$ 729.990,$ 819.990,$ 1.089.990
Teclado K580 Bluetooth multidispositivo Rosa,no encontrado,$ 69.990,no encontrado
Kit De Teclado y Mouse MK470 - Negro,no encontrado,$ 69.990,no encontrado
"Notebook Ideapad 3 Intel Core i3 12va 8-Núcleos 8GB RAM 512GB SSD 15,6"" FHD IPS",$ 429.990,$ 449.990,$ 559.990
"IPad 10.2"" (Wi-Fi, 256GB) 9a Generación",no encontrado,$ 639.990,no encontrado
Impresora Multifuncional DCPT230 Tinta Continua Color,$ 129.990,$ 169.990,no encontrado
"Notebook TUF Gaming A15 FA506 AMD Ryzen 5 NVIDIA GeForce RTX 2050 8GB RAM 512GB SSD 15.6"" FHD 144Hz",$ 679.990,$ 699.990,$ 999.990
Impresora Multifuncional DCPT730DW Tinta Continua Color WiFi,no encontrado,$ 254.990,no encontrado
Monitor Gamer Curvo 27 pulgadas Full HD 180Hz 1ms FreeSync HDMI,$ 129.990,$ 139.990,$ 219.990
